Entry Text File Format Version: 1.0
_HISTORY.TXT( HISTORY OF EXECUTION )
_Backup at 2024/10/15 08:48:24
(    206)   1.PRINT ENET1,V1%
( 100258)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100271)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100267)    .INPUT ENET1,V1%,0.1,1
(    226)   1.PRINT ENET1,V1%
( 100309)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100235)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100324)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100352)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100197)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100282)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100319)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100266)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100245)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100317)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100279)    .INPUT ENET1,V1%,0.1,1
(    224)   1.PRINT ENET1,V1%
( 100250)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100256)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100273)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100299)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100264)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100263)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100301)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100262)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100268)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100295)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100261)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100298)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100265)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100273)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100276)    .INPUT ENET1,V1%,0.1,1
(    216)   1.PRINT ENET1,V1%
( 100265)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100259)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100199)    .INPUT ENET1,V1%,0.1,1
(    221)   1.PRINT ENET1,V1%
( 100366)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100239)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100264)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100274)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100251)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100258)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100277)    .INPUT ENET1,V1%,0.1,1
(    220)   1.PRINT ENET1,V1%
( 100264)    .INPUT ENET1,V1%,0.1,1
(    215)   1.PRINT ENET1,V1%
( 100272)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100285)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100263)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100295)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100266)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100235)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100278)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100286)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100265)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100277)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100209)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100383)    .INPUT ENET1,V1%,0.1,1
(    200)   1.PRINT ENET1,V1%
( 100218)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100294)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100284)    .INPUT ENET1,V1%,0.1,1
(    215)   1.PRINT ENET1,V1%
( 100277)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100244)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100309)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100248)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100280)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100281)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100265)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100294)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100293)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100246)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100257)    .INPUT ENET1,V1%,0.1,1
(    215)   1.PRINT ENET1,V1%
( 100306)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100251)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100281)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100293)    .INPUT ENET1,V1%,0.1,1
(    206)   1.PRINT ENET1,V1%
( 100272)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100264)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100257)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100302)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100287)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100250)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100278)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100262)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100288)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100274)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100302)    .INPUT ENET1,V1%,0.1,1
(    215)   1.PRINT ENET1,V1%
( 100285)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100225)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100274)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100331)    .INPUT ENET1,V1%,0.1,1
(    200)   1.PRINT ENET1,V1%
( 100227)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100275)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100310)    .INPUT ENET1,V1%,0.1,1
(    201)   1.PRINT ENET1,V1%
( 100268)    .INPUT ENET1,V1%,0.1,1
(    204)   1.PRINT ENET1,V1%
( 100258)    .INPUT ENET1,V1%,0.1,1
(    205)   1.PRINT ENET1,V1%
( 100301)    .INPUT ENET1,V1%,0.1,1
(    202)   1.PRINT ENET1,V1%
( 100278)    .INPUT ENET1,V1%,0.1,1
(    216)   1.PRINT ENET1,V1%
( 100248)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100259)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100281)    .INPUT ENET1,V1%,0.1,1
(    203)   1.PRINT ENET1,V1%
( 100285)    .INPUT ENET1,V1%,0.1,1
(    207)   1.PRINT ENET1,V1%
(  39964)INPUT received:[3]
(     51)    .INPUT ENET1,V1%,0.1,1
(    204)    .PRINT ENET1,V1%
(    214)    .IF V1%=2 THEN
(    163)    .ELSEIF V1%=3 THEN
(    887)    .CALL 13 'cut
(     86)====.|Start 0013.JOB
(   2871)    .|OnLTrack OFF
(    198)    .|PRINT ENET1,"cut_complete"
(    700)    .|CALL 3 'onltrack on
(     87)====.||Start 0003.JOB
(    156)    .||OnLTrack ON,IP=192.168.0.54,PORT=9569,CRD=0
(    241)    .||LIMIT POS,+X=5000,-X=5000,+Y=5000,-Y=5000,+Z=5000,-Z=5000
(    217)    .||LIMIT VEL,X=50,Y=50,Z=50,RX=10,RY=10,RZ=10
(    310)    .||END
(     49)----.|{Return(P:3->P:13/S0/F3)}
(    192)    .|PRINT ENET1,"123456789"
(    171)    .|V1%=0
(    620)    .|PRINT ENET1,V1%
(    220)    .|END
(     48)----.{Return(P:13->P:1/S1/F11)}
(    242)    .ELSEIF V1%=4 THEN
(    155)    .ENDIF
(    176)    .PRINT ENET1,"goto1"
(    188)    .GOTO 1
(   1748)   1.PRINT ENET1,V1%
(   4351)_____[ PlyStopActionProcess() ]
(    335)BD530CANData [44,11,00,00,F8,88,00,F0,F0,00,44,00]
(     79)MotStateBackup [41,02,41,02,0E,02]
(    112)iMPTestStateBackup [03,02,01,00,00,00]
(     83)_____{Error:E00159(2)} 
(    664)AutoBackupForEvent
(     39)ull_CmdManagerISR_Time=445
(     46)ull_MainISR_Time=1426088659
( 116476)BD530CANData [44,11,00,00,F8,88,00,F0,F0,00,44,00]
(     82)MotStateBackup [41,02,41,02,41,02]
(     66)iMPTestStateBackup [03,02,01,00,00,00]
(    653)_____{Error:E00159(3)} 
(   2132)AutoBackupForEvent
(     43)ull_CmdManagerISR_Time=551
(     45)ull_MainISR_Time=781
(  77176)BD530CANData [44,11,00,00,F8,88,00,F0,F0,00,44,00]
(     81)MotStateBackup [41,02,41,02,41,02]
(     66)iMPTestStateBackup [03,02,01,00,00,00]
(     82)_____{Error:E00159(5)} 
(   3374)AutoBackupForEvent
(     60)ull_CmdManagerISR_Time=533
(     46)ull_MainISR_Time=2071
(=Stamp=)[2024/10/15 08:25:39](14779072)  
(     69)Operation mode has been changed to TEACH!
(2135068)Operation mode has been changed to AUTO!
(   5251)Set_StepSetAlarm!!!!
(     89)Cur(0): ProgNo=1, StepNo=0, FuncNo=0
(     59)Mov(0): ProgNo=1, StepNo=1, FuncNo=6
(    263)BD530CANData [CC,11,00,00,F8,AA,03,F8,F0,00,66,00]
(     81)MotStateBackup [01,29,04,3D,09,02]
(     66)iMPTestStateBackup [03,02,01,00,00,00]
(     82)_____{Error:W00174(0)} 
(   1076)AutoBackupForEvent
(=Stamp=)[2024/10/15 08:36:34](652380425)  
(     69)Operation mode has been changed to TEACH!
(=Stamp=)[2024/10/15 08:36:49](14669720)  
(     68)[T0/P1/Delete] Job's flow control cleared.
(  10321)>>>> Adjust PSF in [lTask:0]____________
(     68)ChangeExecPsfInfoOnDel:(P1):Start(S1,F5),End(S1,F5),Pre(S1,F4),Nxt(S1,F5)
(     98)Old:CallStack[R0/M0],1(P1/S1/F11)
(     57)Old:Moving_PSF=(P1/S1/F6), RunningPSF=(P1/S1/F6)
(     95)Recal:: SavedFuncInfo.saaPC[0][1](1) -=(0)
(     65)Recal:: SavedFuncInfo.saaPC[0][2](6) =(5)
(     62)Clear SavedFuncInfo.usaIdx[0]=0
(     57)New:Moving_PSF=(P1/S1/F5), RunningPSF=(P1/S1/F5)
(     74)New:CallStack[R0/M0],1(P1/S1/F10)
(     54)^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(4078872)>>>> Adjust PSF in [lTask:0]____________
(     67)ChangeExecPsfInfoOnModify:(P1/S1/F5)
(     77)Old:CallStack[R0/M0],1(P1/S1/F10)
(     57)Old:Moving_PSF=(P1/S1/F5), RunningPSF=(P1/S1/F5)
(     74)New:Moving_PSF=(P1/S1/F5), RunningPSF=(P1/S1/F5)
(     74)New:CallStack[R0/M0],1(P1/S1/F10)
(     53)^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(4079012)>>>> Adjust PSF in [lTask:0]____________
(     69)ChangeExecPsfInfoOnDel:(P1):Start(S1,F6),End(S1,F6),Pre(S1,F5),Nxt(S1,F6)
(     98)Old:CallStack[R0/M0],1(P1/S1/F10)
(     56)Old:Moving_PSF=(P1/S1/F5), RunningPSF=(P1/S1/F5)
(     96)Recal:: SavedFuncInfo.saaPC[0][1](1) -=(0)
(     64)Recal:: SavedFuncInfo.saaPC[0][2](5) =(4)
(     63)Clear SavedFuncInfo.usaIdx[0]=0
(     57)New:Moving_PSF=(P1/S1/F5), RunningPSF=(P1/S1/F5)
(     73)New:CallStack[R0/M0],1(P1/S1/F9)
(     53)^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(7495112)>>>> Adjust PSF in [lTask:0]____________
(     69)ChangeExecPsfInfoOnDel:(P1):Start(S1,F13),End(S1,F13),Pre(S1,F12),Nxt(S1,F13)
(    103)Old:CallStack[R0/M0],1(P1/S1/F9)
(     66)Old:Moving_PSF=(P1/S1/F5), RunningPSF=(P1/S1/F5)
(     96)Recal:: SavedFuncInfo.saaPC[0][1](1) -=(0)
(     71)Recal:: SavedFuncInfo.saaPC[0][2](4) =(3)
(     63)Clear SavedFuncInfo.usaIdx[0]=0
(     57)New:Moving_PSF=(P1/S1/F5), RunningPSF=(P1/S1/F5)
(     73)New:CallStack[R0/M0],1(P1/S1/F9)
(     53)^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(=Stamp=)[2024/10/15 08:44:08](424127014)  
(     69)Operation mode has been changed to AUTO!
(4149770)_____[START by Internal]
(   5518)BD530CANData [44,11,00,00,F8,88,00,F0,F0,00,44,00]
(     79)MotStateBackup [02,07,03,05,0A,28]
(     67)iMPTestStateBackup [03,02,01,00,00,00]
(   4262)_____[START]__________(P1/S0./F0)___
(     76)>>>> Adjust PSF in [lTask:0]____________
(     62)ChangeExecPsf4StartAtChangedPSF:(P1/S0/F0)
(     64)Old:CallStack[R0/M0],1(P1/S1/F9)
(     56)Old:Moving_PSF=(P1/S1/F5), RunningPSF=(P1/S1/F5)
(    468)Cleared by changing SF_____
(     51)Old:CallStack[R0/M0],1(P1/S1/F9)
(     56)Old:Moving_PSF=(P1/S1/F5), RunningPSF=(P1/S1/F5)
(    205)New:Moving_PSF=(P1/S0/F0), RunningPSF=(P1/S0/F0)
(     71)New:CallStack[R0/M0]
(     39)^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(     60)New:Moving_PSF=(P1/S0/F0), RunningPSF=(P1/S0/F0)
(     73)New:CallStack[R0/M0],1(P1/S1/F9)
(     96)^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(    306)====.Start 0001.JOB
(    164)    .V1%=0
(    163)S1  >MOVE P,P1,S=5%,A=3,T=0
(   9049)    .CALL 2 'enet1
(     83)====.|Start 0002.JOB
(    155)    .|ENET1.IP="192.168.0.54"
(    227)    .|ENET1.LPORT=6666
(    145)    .|ENET1.RPORT=7777
(    234)    .|ENET1.OPEN 1
(    160)    .|CLR_RBUF ENET1
(    199)    .|END
(     44)----.{Return(P:2->P:1/S1/F1)}
(1158730)S1  .MOVE P,P1,S=5%,A=3,T=0
(2009384)    .DELAY 2
(    284)    .CALL 3 'onltrack on
(     86)====.|Start 0003.JOB
(    157)    .|OnLTrack ON,IP=192.168.0.54,PORT=9569,CRD=0
(    193)    .|LIMIT POS,+X=5000,-X=5000,+Y=5000,-Y=5000,+Z=5000,-Z=5000
(    213)    .|LIMIT VEL,X=50,Y=50,Z=50,RX=10,RY=10,RZ=10
(    730)    .|END
(     48)----.{Return(P:3->P:1/S1/F3)}
(    219)    .PRINT ENET1,"init"
(  98758)   1.INPUT ENET1,V1%,0.1,1
( 100496)   1.INPUT ENET1,V1%,0.1,1
( 100459)   1.INPUT ENET1,V1%,0.1,1
( 100473)   1.INPUT ENET1,V1%,0.1,1
( 100508)   1.INPUT ENET1,V1%,0.1,1
( 100474)   1.INPUT ENET1,V1%,0.1,1
( 100461)   1.INPUT ENET1,V1%,0.1,1
( 100471)   1.INPUT ENET1,V1%,0.1,1
( 100498)   1.INPUT ENET1,V1%,0.1,1
( 100511)   1.INPUT ENET1,V1%,0.1,1
( 100495)   1.INPUT ENET1,V1%,0.1,1
( 100430)   1.INPUT ENET1,V1%,0.1,1
( 100492)   1.INPUT ENET1,V1%,0.1,1
( 100457)   1.INPUT ENET1,V1%,0.1,1
( 100491)   1.INPUT ENET1,V1%,0.1,1
( 100461)   1.INPUT ENET1,V1%,0.1,1
( 100550)   1.INPUT ENET1,V1%,0.1,1
( 100408)   1.INPUT ENET1,V1%,0.1,1
( 100494)   1.INPUT ENET1,V1%,0.1,1
( 100476)   1.INPUT ENET1,V1%,0.1,1
( 100503)   1.INPUT ENET1,V1%,0.1,1
( 100465)   1.INPUT ENET1,V1%,0.1,1
( 100494)   1.INPUT ENET1,V1%,0.1,1
( 100459)   1.INPUT ENET1,V1%,0.1,1
( 100484)   1.INPUT ENET1,V1%,0.1,1
( 100478)   1.INPUT ENET1,V1%,0.1,1
( 100481)   1.INPUT ENET1,V1%,0.1,1
( 100478)   1.INPUT ENET1,V1%,0.1,1
( 100481)   1.INPUT ENET1,V1%,0.1,1
( 100508)   1.INPUT ENET1,V1%,0.1,1
( 100432)   1.INPUT ENET1,V1%,0.1,1
( 100497)   1.INPUT ENET1,V1%,0.1,1
( 100492)   1.INPUT ENET1,V1%,0.1,1
( 100442)   1.INPUT ENET1,V1%,0.1,1
( 100489)   1.INPUT ENET1,V1%,0.1,1
( 100546)   1.INPUT ENET1,V1%,0.1,1
( 100422)   1.INPUT ENET1,V1%,0.1,1
( 100480)   1.INPUT ENET1,V1%,0.1,1
( 100538)   1.INPUT ENET1,V1%,0.1,1
( 100437)   1.INPUT ENET1,V1%,0.1,1
( 100471)   1.INPUT ENET1,V1%,0.1,1
( 100498)   1.INPUT ENET1,V1%,0.1,1
( 100469)   1.INPUT ENET1,V1%,0.1,1
( 100478)   1.INPUT ENET1,V1%,0.1,1
( 100507)   1.INPUT ENET1,V1%,0.1,1
( 100463)   1.INPUT ENET1,V1%,0.1,1
( 100556)   1.INPUT ENET1,V1%,0.1,1
( 100455)   1.INPUT ENET1,V1%,0.1,1
( 100506)   1.INPUT ENET1,V1%,0.1,1
( 100468)   1.INPUT ENET1,V1%,0.1,1
( 100465)   1.INPUT ENET1,V1%,0.1,1
( 100507)   1.INPUT ENET1,V1%,0.1,1
( 100454)   1.INPUT ENET1,V1%,0.1,1
( 100504)   1.INPUT ENET1,V1%,0.1,1
( 100481)   1.INPUT ENET1,V1%,0.1,1
( 100452)   1.INPUT ENET1,V1%,0.1,1
( 100487)   1.INPUT ENET1,V1%,0.1,1
( 100510)   1.INPUT ENET1,V1%,0.1,1
( 100443)   1.INPUT ENET1,V1%,0.1,1
( 100473)   1.INPUT ENET1,V1%,0.1,1
( 100509)   1.INPUT ENET1,V1%,0.1,1
( 100497)   1.INPUT ENET1,V1%,0.1,1
( 100441)   1.INPUT ENET1,V1%,0.1,1
( 100481)   1.INPUT ENET1,V1%,0.1,1
( 100490)   1.INPUT ENET1,V1%,0.1,1
( 100468)   1.INPUT ENET1,V1%,0.1,1
( 100395)   1.INPUT ENET1,V1%,0.1,1
( 100583)   1.INPUT ENET1,V1%,0.1,1
( 100458)   1.INPUT ENET1,V1%,0.1,1
( 100472)   1.INPUT ENET1,V1%,0.1,1
( 100499)   1.INPUT ENET1,V1%,0.1,1
( 100464)   1.INPUT ENET1,V1%,0.1,1
( 100439)   1.INPUT ENET1,V1%,0.1,1
( 100542)   1.INPUT ENET1,V1%,0.1,1
( 100466)   1.INPUT ENET1,V1%,0.1,1
( 100494)   1.INPUT ENET1,V1%,0.1,1
( 100448)   1.INPUT ENET1,V1%,0.1,1
( 100509)   1.INPUT ENET1,V1%,0.1,1
( 100454)   1.INPUT ENET1,V1%,0.1,1
( 100501)   1.INPUT ENET1,V1%,0.1,1
( 100486)   1.INPUT ENET1,V1%,0.1,1
( 100449)   1.INPUT ENET1,V1%,0.1,1
( 100472)   1.INPUT ENET1,V1%,0.1,1
( 100537)   1.INPUT ENET1,V1%,0.1,1
( 100432)   1.INPUT ENET1,V1%,0.1,1
( 100478)   1.INPUT ENET1,V1%,0.1,1
( 100513)   1.INPUT ENET1,V1%,0.1,1
( 100466)   1.INPUT ENET1,V1%,0.1,1
( 100461)   1.INPUT ENET1,V1%,0.1,1
( 100508)   1.INPUT ENET1,V1%,0.1,1
( 100476)   1.INPUT ENET1,V1%,0.1,1
( 100455)   1.INPUT ENET1,V1%,0.1,1
( 100480)   1.INPUT ENET1,V1%,0.1,1
( 100480)   1.INPUT ENET1,V1%,0.1,1
( 100493)   1.INPUT ENET1,V1%,0.1,1
( 100489)   1.INPUT ENET1,V1%,0.1,1
( 100478)   1.INPUT ENET1,V1%,0.1,1
( 100452)   1.INPUT ENET1,V1%,0.1,1
( 100498)   1.INPUT ENET1,V1%,0.1,1
( 100485)   1.INPUT ENET1,V1%,0.1,1
( 100452)   1.INPUT ENET1,V1%,0.1,1
( 100498)   1.INPUT ENET1,V1%,0.1,1
( 100421)   1.INPUT ENET1,V1%,0.1,1
( 100525)   1.INPUT ENET1,V1%,0.1,1
( 100445)   1.INPUT ENET1,V1%,0.1,1
( 100550)   1.INPUT ENET1,V1%,0.1,1
( 100432)   1.INPUT ENET1,V1%,0.1,1
( 100490)   1.INPUT ENET1,V1%,0.1,1
( 100522)   1.INPUT ENET1,V1%,0.1,1
( 100460)   1.INPUT ENET1,V1%,0.1,1
( 100454)   1.INPUT ENET1,V1%,0.1,1
( 100477)   1.INPUT ENET1,V1%,0.1,1
( 100527)   1.INPUT ENET1,V1%,0.1,1
( 100450)   1.INPUT ENET1,V1%,0.1,1
( 100462)   1.INPUT ENET1,V1%,0.1,1
( 100497)   1.INPUT ENET1,V1%,0.1,1
( 100411)   1.INPUT ENET1,V1%,0.1,1
( 100524)   1.INPUT ENET1,V1%,0.1,1
( 100438)   1.INPUT ENET1,V1%,0.1,1
( 100528)   1.INPUT ENET1,V1%,0.1,1
( 100504)   1.INPUT ENET1,V1%,0.1,1
( 100459)   1.INPUT ENET1,V1%,0.1,1
( 100395)   1.INPUT ENET1,V1%,0.1,1
( 100601)   1.INPUT ENET1,V1%,0.1,1
( 100455)   1.INPUT ENET1,V1%,0.1,1
( 100463)   1.INPUT ENET1,V1%,0.1,1
( 100500)   1.INPUT ENET1,V1%,0.1,1
( 100476)   1.INPUT ENET1,V1%,0.1,1
( 100468)   1.INPUT ENET1,V1%,0.1,1
( 100498)   1.INPUT ENET1,V1%,0.1,1
( 100460)   1.INPUT ENET1,V1%,0.1,1
( 100477)   1.INPUT ENET1,V1%,0.1,1
( 100475)   1.INPUT ENET1,V1%,0.1,1
( 100482)   1.INPUT ENET1,V1%,0.1,1
( 100487)   1.INPUT ENET1,V1%,0.1,1
( 100486)   1.INPUT ENET1,V1%,0.1,1
( 100485)   1.INPUT ENET1,V1%,0.1,1
( 100453)   1.INPUT ENET1,V1%,0.1,1
( 100504)   1.INPUT ENET1,V1%,0.1,1
( 100499)   1.INPUT ENET1,V1%,0.1,1
( 100433)   1.INPUT ENET1,V1%,0.1,1
( 100473)   1.INPUT ENET1,V1%,0.1,1
( 100533)   1.INPUT ENET1,V1%,0.1,1
( 100437)   1.INPUT ENET1,V1%,0.1,1
( 100474)   1.INPUT ENET1,V1%,0.1,1
( 100471)   1.INPUT ENET1,V1%,0.1,1
( 100518)   1.INPUT ENET1,V1%,0.1,1
( 100458)   1.INPUT ENET1,V1%,0.1,1
( 100519)   1.INPUT ENET1,V1%,0.1,1
( 100450)   1.INPUT ENET1,V1%,0.1,1
( 100496)   1.INPUT ENET1,V1%,0.1,1
( 100450)   1.INPUT ENET1,V1%,0.1,1
( 100501)   1.INPUT ENET1,V1%,0.1,1
( 100475)   1.INPUT ENET1,V1%,0.1,1
( 100391)   1.INPUT ENET1,V1%,0.1,1
( 100571)   1.INPUT ENET1,V1%,0.1,1
( 100446)   1.INPUT ENET1,V1%,0.1,1
( 100510)   1.INPUT ENET1,V1%,0.1,1
( 100485)   1.INPUT ENET1,V1%,0.1,1
( 100453)   1.INPUT ENET1,V1%,0.1,1
( 100479)   1.INPUT ENET1,V1%,0.1,1
( 100501)   1.INPUT ENET1,V1%,0.1,1
( 100462)   1.INPUT ENET1,V1%,0.1,1
( 100398)   1.INPUT ENET1,V1%,0.1,1
( 100610)   1.INPUT ENET1,V1%,0.1,1
( 100448)   1.INPUT ENET1,V1%,0.1,1
( 100459)   1.INPUT ENET1,V1%,0.1,1
( 100411)   1.INPUT ENET1,V1%,0.1,1
( 100493)   1.INPUT ENET1,V1%,0.1,1
( 100542)   1.INPUT ENET1,V1%,0.1,1
( 100488)   1.INPUT ENET1,V1%,0.1,1
( 100523)   1.INPUT ENET1,V1%,0.1,1
( 100524)   1.INPUT ENET1,V1%,0.1,1
( 100420)   1.INPUT ENET1,V1%,0.1,1
( 100532)   1.INPUT ENET1,V1%,0.1,1
( 100464)   1.INPUT ENET1,V1%,0.1,1
( 100490)   1.INPUT ENET1,V1%,0.1,1
( 100478)   1.INPUT ENET1,V1%,0.1,1
( 100464)   1.INPUT ENET1,V1%,0.1,1
( 100489)   1.INPUT ENET1,V1%,0.1,1
( 100497)   1.INPUT ENET1,V1%,0.1,1
( 100448)   1.INPUT ENET1,V1%,0.1,1
( 100480)   1.INPUT ENET1,V1%,0.1,1
( 100497)   1.INPUT ENET1,V1%,0.1,1
( 100449)   1.INPUT ENET1,V1%,0.1,1
( 100486)   1.INPUT ENET1,V1%,0.1,1
( 100487)   1.INPUT ENET1,V1%,0.1,1
( 100516)   1.INPUT ENET1,V1%,0.1,1
( 100439)   1.INPUT ENET1,V1%,0.1,1
( 100486)   1.INPUT ENET1,V1%,0.1,1
( 100515)   1.INPUT ENET1,V1%,0.1,1
( 100447)   1.INPUT ENET1,V1%,0.1,1
( 100459)   1.INPUT ENET1,V1%,0.1,1
( 100507)   1.INPUT ENET1,V1%,0.1,1
( 100481)   1.INPUT ENET1,V1%,0.1,1
( 100465)   1.INPUT ENET1,V1%,0.1,1
( 100468)   1.INPUT ENET1,V1%,0.1,1
( 100406)   1.INPUT ENET1,V1%,0.1,1
( 100598)   1.INPUT ENET1,V1%,0.1,1
( 100399)   1.INPUT ENET1,V1%,0.1,1
( 100544)   1.INPUT ENET1,V1%,0.1,1
( 100464)   1.INPUT ENET1,V1%,0.1,1
( 100442)   1.INPUT ENET1,V1%,0.1,1
( 100482)   1.INPUT ENET1,V1%,0.1,1
